#userID, username, password, phone, address, role, studentID, merchantName#
1,xuzubin,123456,15919133118,荔园8栋,0,2023311725,NULL
2,maidanglao,123456,12345678901,二食堂,1,NULL,麦当劳
3,student_a,123456,13800000001,荔园1栋,0,2023311726,NULL
4,student_b,123456,13800000002,荔园2栋,0,2023311727,NULL
5,student_c,123456,13800000003,荔园3栋,0,2023311728,NULL
6,student_d,123456,13800000004,荔园4栋,0,2023311729,NULL
7,student_e,123456,13800000005,荔园5栋,0,2023311730,NULL
8,student_f,123456,13800000006,荔园6栋,0,2023311731,NULL
9,student_g,123456,13800000007,荔园7栋,0,2023311732,NULL
10,student_h,123456,13800000008,荔园9栋,0,2023311733,NULL
11,student_i,123456,13800000009,荔园10栋,0,2023311734,NULL
12,student_j,123456,13800000010,荔园3栋,0,2023311735,NULL
13,kfc,123456,13900000001,一食堂,1,NULL,肯德基
14,hualaishi,123456,13900000002,一食堂,1,NULL,华莱士
15,mixue,123456,13900000003,二食堂,1,NULL,蜜雪冰城
16,guming,123456,13900000004,二食堂,1,NULL,古茗
17,chabaidao,123456,13900000005,三食堂,1,NULL,茶百道
18,yidiandian,123456,13900000006,三食堂,1,NULL,一点点
19,shaxian,123456,13900000007,四食堂,1,NULL,沙县小吃
20,longjiang,123456,13900000008,四食堂,1,NULL,隆江猪脚饭
21,lanzhou,123456,13900000009,一食堂,1,NULL,兰州拉面
22,luosifen,123456,13900000010,二食堂,1,NULL,螺蛳粉先生
